2023-10-02T07:18:46+03:00 0x00007a40         RoomsPlatformUtils: Process invoked without rooms flag, no platform ID override provided
2023-10-02T07:18:47+03:00 0x00007a40         TelemetryService: Sampling rules from previous session recovered
2023-10-02T07:18:47+03:00 0x00007a40         BackgroundTaskBase: Registering msteamsupdate.exe as bgtask com server for task: TeamsEcsTask
2023-10-02T07:18:47+03:00 0x00007a40         Scenario: shell_bgtask_comserverregistration [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:1, elapsedSinceProcessStart:442, sequence:0
2023-10-02T07:18:47+03:00 0x00008904         Scenario: shell_ecs_refresh [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:0, elapsedSinceProcessStart:460, sequence:0
2023-10-02T07:18:47+03:00 0x00008904         EcsBackgroundTask: Starting ecs background task
2023-10-02T07:18:47+03:00 0x00008904         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:105, elapsedSinceProcessStart:565, sequence:0
2023-10-02T07:18:47+03:00 0x00008904         TelemetryService: Restored sampling rules from previous session
2023-10-02T07:18:47+03:00 0x00008904         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:9f6746f6-76bc-43df-b5c9-31bdbf58524e, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:105, elapsedSinceProcessStart:565, error:no such file or directory, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-10-02T07:18:47+03:00 0x00008904         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:121, elapsedSinceProcessStart:581, sequence:0
2023-10-02T07:18:47+03:00 0x00008904         Scenario: shell_peristent_storage_read [stop,success] InstanceId:576e12dc-04e1-43fb-945f-3c7c54c0c5cc, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:success, Scenario.Step:stop, delta:15, elapsed:136, elapsedSinceProcessStart:596, fileName:ecs_request_param.json, previousStep:start, sequence:1, stepDelta:15
